trial,seed,steps,rows,cols,final_prey,final_predators,final_vegetation,prey_extinct,predator_extinct,time_to_prey_extinction,time_to_predator_extinction,mean_prey,mean_predators,mean_vegetation,migration_rate,drought_probability,disease_probability,fragmentation_rate,predation_rate,stability_score,recovery_time_after_drought,scenario
7,2069859,160,6,6,117.680225,25.960451,13438.267275,false,false,,,430.638500,301.223131,13351.926304,0.000000,0.015000,0.015000,0.350000,0.00180000,0.465491,,migration_0.000_drought_0.015_fragmentation_0.350_predation_0.00180
0,3000051,160,6,6,94.685308,25.523342,10760.569403,true,false,147,,412.644527,300.804538,11698.702074,0.000000,0.020000,0.015000,0.350000,0.00180000,0.449643,,migration_0.000_drought_0.020_fragmentation_0.350_predation_0.00180
1,3010024,160,6,6,89.009910,25.489152,9646.992377,true,false,147,,411.005901,300.543834,11617.389255,0.000000,0.020000,0.015000,0.350000,0.00180000,0.449620,,migration_0.000_drought_0.020_fragmentation_0.350_predation_0.00180
2,3019997,160,6,6,93.533684,25.549385,11840.680999,true,false,148,,414.211605,301.170469,11917.982538,0.000000,0.020000,0.015000,0.350000,0.00180000,0.449372,,migration_0.000_drought_0.020_fragmentation_0.350_predation_0.00180
3,3029970,160,6,6,94.005413,25.221657,12852.552610,true,false,141,,400.047960,299.659634,11844.071435,0.000000,0.020000,0.015000,0.350000,0.00180000,0.443323,,migration_0.000_drought_0.020_fragmentation_0.350_predation_0.00180
4,3039943,160,6,6,96.662399,25.434464,10199.461852,true,false,156,,408.545770,299.636930,12146.160787,0.000000,0.020000,0.015000,0.350000,0.00180000,0.452288,,migration_0.000_drought_0.020_fragmentation_0.350_predation_0.00180
5,3049916,160,6,6,97.427293,25.659729,12475.820979,true,false,155,,418.956651,300.923069,12956.999198,0.000000,0.020000,0.015000,0.350000,0.00180000,0.455624,,migration_0.000_drought_0.020_fragmentation_0.350_predation_0.00180
6,3059889,160,6,6,99.046814,25.606931,11412.200124,true,false,158,,415.855322,300.332020,12074.721020,0.000000,0.020000,0.015000,0.350000,0.00180000,0.456176,,migration_0.000_drought_0.020_fragmentation_0.350_predation_0.00180
7,3069862,160,6,6,105.234941,25.668117,13080.049060,false,false,,,418.760740,300.840833,12217.270483,0.000000,0.020000,0.015000,0.350000,0.00180000,0.455318,,migration_0.000_drought_0.020_fragmentation_0.350_predation_0.00180
0,4000054,160,6,6,62.704793,24.820683,6962.757489,true,false,114,,381.912574,298.854793,9066.262928,0.000000,0.030000,0.015000,0.350000,0.00180000,0.428792,,migration_0.000_drought_0.030_fragmentation_0.350_predation_0.00180
1,4010027,160,6,6,68.540369,25.462089,7928.881819,true,false,130,,410.346554,301.172342,10084.209746,0.000000,0.030000,0.015000,0.350000,0.00180000,0.445575,,migration_0.000_drought_0.030_fragmentation_0.350_predation_0.00180
2,4020000,160,6,6,63.862697,25.240410,6686.595814,true,false,124,,400.449184,300.623997,9098.465141,0.000000,0.030000,0.015000,0.350000,0.00180000,0.438319,,migration_0.000_drought_0.030_fragmentation_0.350_predation_0.00180
3,4029973,160,6,6,73.351546,25.314926,7148.036977,true,false,129,,402.844722,300.414442,8709.410295,0.000000,0.030000,0.015000,0.350000,0.00180000,0.442076,,migration_0.000_drought_0.030_fragmentation_0.350_predation_0.00180
4,4039946,160,6,6,64.478346,25.054266,8478.270796,true,false,120,,392.166626,299.660962,10447.690290,0.000000,0.030000,0.015000,0.350000,0.00180000,0.436163,,migration_0.000_drought_0.030_fragmentation_0.350_predation_0.00180
5,4049919,160,6,6,60.410086,25.000412,6292.466937,true,false,116,,389.742130,299.815286,9241.889292,0.000000,0.030000,0.015000,0.350000,0.00180000,0.431846,,migration_0.000_drought_0.030_fragmentation_0.350_predation_0.00180
6,4059892,160,6,6,64.875612,25.276350,6556.108586,true,false,123,,402.225931,300.798989,9164.817859,0.000000,0.030000,0.015000,0.350000,0.00180000,0.439578,,migration_0.000_drought_0.030_fragmentation_0.350_predation_0.00180
7,4069865,160,6,6,56.683901,25.090116,5896.988306,true,false,113,,394.499970,300.794346,9271.624401,0.000000,0.030000,0.015000,0.350000,0.00180000,0.431684,,migration_0.000_drought_0.030_fragmentation_0.350_predation_0.00180
0,5000057,160,6,6,256.062766,27.487498,24000.871580,false,false,,,487.651640,303.536622,19862.104553,0.010000,0.000000,0.015000,0.350000,0.00180000,0.506067,,migration_0.010_drought_0.000_fragmentation_0.350_predation_0.00180
1,5010030,160,6,6,269.328090,27.571019,23826.621456,false,false,,,494.882603,303.196239,19874.604536,0.010000,0.000000,0.015000,0.350000,0.00180000,0.513829,,migration_0.010_drought_0.000_fragmentation_0.350_predation_0.00180
2,5020003,160,6,6,249.013264,27.396996,23948.913911,false,false,,,484.411623,302.630411,19946.499366,0.010000,0.000000,0.015000,0.350000,0.00180000,0.507918,,migration_0.010_drought_0.000_fragmentation_0.350_predation_0.00180
3,5029976,160,6,6,240.716057,27.428073,23775.055017,false,false,,,489.426142,303.625220,19969.467842,0.010000,0.000000,0.015000,0.350000,0.00180000,0.506542,,migration_0.010_drought_0.000_fragmentation_0.350_predation_0.00180
4,5039949,160,6,6,270.230094,27.692935,23572.419410,false,false,,,497.019478,303.586761,19738.013736,0.010000,0.000000,0.015000,0.350000,0.00180000,0.513945,,migration_0.010_drought_0.000_fragmentation_0.350_predation_0.00180
